userId,movieId,rating,movie_title
1,1,4.0,Toy Story (1995)
1,3,4.0,Grumpier Old Men (1995)
1,6,4.0,Heat (1995)
1,47,5.0,Seven (a.k.a. Se7en) (1995)
1,50,5.0,"Usual Suspects, The (1995)"
1,70,3.0,From Dusk Till Dawn (1996)
1,101,5.0,Bottle Rocket (1996)
1,110,4.0,Braveheart (1995)
1,151,5.0,Rob Roy (1995)
1,157,5.0,Canadian Bacon (1995)
1,163,5.0,Desperado (1995)
1,216,5.0,Billy Madison (1995)
1,223,3.0,Clerks (1994)
1,231,5.0,Dumb & Dumber (Dumb and Dumber) (1994)
1,235,4.0,Ed Wood (1994)
1,260,5.0,Star Wars: Episode IV - A New Hope (1977)
1,296,3.0,Pulp Fiction (1994)
1,316,3.0,Stargate (1994)
1,333,5.0,Tommy Boy (1995)
1,349,4.0,Clear and Present Danger (1994)
1,356,4.0,Forrest Gump (1994)
1,362,5.0,"Jungle Book, The (1994)"
1,367,4.0,"Mask, The (1994)"
1,423,3.0,Blown Away (1994)
1,441,4.0,Dazed and Confused (1993)
1,457,5.0,"Fugitive, The (1993)"
1,480,4.0,Jurassic Park (1993)
1,500,3.0,Mrs. Doubtfire (1993)
1,527,5.0,Schindler's List (1993)
1,543,4.0,So I Married an Axe Murderer (1993)
1,552,4.0,"Three Musketeers, The (1993)"
1,553,5.0,Tombstone (1993)
1,590,4.0,Dances with Wolves (1990)
1,592,4.0,Batman (1989)
1,593,4.0,"Silence of the Lambs, The (1991)"
1,596,5.0,Pinocchio (1940)
1,608,5.0,Fargo (1996)
1,648,3.0,Mission: Impossible (1996)
1,661,5.0,James and the Giant Peach (1996)
1,673,3.0,Space Jam (1996)
1,733,4.0,"Rock, The (1996)"
1,736,3.0,Twister (1996)
1,780,3.0,Independence Day (a.k.a. ID4) (1996)
1,804,4.0,She's the One (1996)
1,919,5.0,"Wizard of Oz, The (1939)"
1,923,5.0,Citizen Kane (1941)
1,940,5.0,"Adventures of Robin Hood, The (1938)"
1,943,4.0,"Ghost and Mrs. Muir, The (1947)"
1,954,5.0,Mr. Smith Goes to Washington (1939)
2,318,3.0,"Shawshank Redemption, The (1994)"
2,333,4.0,Tommy Boy (1995)
3,31,0.5,Dangerous Minds (1995)
3,527,0.5,Schindler's List (1993)
3,647,0.5,Courage Under Fire (1996)
3,688,0.5,Operation Dumbo Drop (1995)
3,720,0.5,Wallace & Gromit: The Best of Aardman Animation (1996)
3,849,5.0,Escape from L.A. (1996)
3,914,0.5,My Fair Lady (1964)
4,21,3.0,Get Shorty (1995)
4,32,2.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
4,45,3.0,To Die For (1995)
4,47,2.0,Seven (a.k.a. Se7en) (1995)
4,52,3.0,Mighty Aphrodite (1995)
4,58,3.0,"Postman, The (Postino, Il) (1994)"
4,106,4.0,Nobody Loves Me (Keiner liebt mich) (1994)
4,125,5.0,Flirting With Disaster (1996)
4,126,1.0,"NeverEnding Story III, The (1994)"
4,162,5.0,Crumb (1994)
4,171,3.0,Jeffrey (1995)
4,176,5.0,Living in Oblivion (1995)
4,190,2.0,Safe (1995)
4,215,5.0,Before Sunrise (1995)
4,222,1.0,Circle of Friends (1995)
4,232,5.0,Eat Drink Man Woman (Yin shi nan nu) (1994)
4,235,2.0,Ed Wood (1994)
4,247,3.0,Heavenly Creatures (1994)
4,260,5.0,Star Wars: Episode IV - A New Hope (1977)
4,265,5.0,Like Water for Chocolate (Como agua para chocolate) (1992)
4,296,1.0,Pulp Fiction (1994)
4,319,5.0,Shallow Grave (1994)
4,342,5.0,Muriel's Wedding (1994)
4,345,4.0,"Adventures of Priscilla, Queen of the Desert, The (1994)"
4,348,4.0,Bullets Over Broadway (1994)
4,351,3.0,"Corrina, Corrina (1994)"
4,357,3.0,Four Weddings and a Funeral (1994)
4,368,4.0,Maverick (1994)
4,417,2.0,Barcelona (1994)
4,441,1.0,Dazed and Confused (1993)
4,450,2.0,With Honors (1994)
4,457,5.0,"Fugitive, The (1993)"
4,475,5.0,In the Name of the Father (1993)
4,492,5.0,Manhattan Murder Mystery (1993)
4,509,1.0,"Piano, The (1993)"
4,538,5.0,Six Degrees of Separation (1993)
4,539,1.0,Sleepless in Seattle (1993)
4,553,2.0,Tombstone (1993)
4,588,4.0,Aladdin (1992)
4,593,5.0,"Silence of the Lambs, The (1991)"
4,595,3.0,Beauty and the Beast (1991)
4,599,2.0,"Wild Bunch, The (1969)"
4,608,5.0,Fargo (1996)
4,648,3.0,Mission: Impossible (1996)
4,708,4.0,"Truth About Cats & Dogs, The (1996)"
4,759,3.0,Maya Lin: A Strong Clear Vision (1994)
4,800,4.0,Lone Star (1996)
4,892,4.0,Twelfth Night (1996)
4,898,5.0,"Philadelphia Story, The (1940)"
4,899,4.0,Singin' in the Rain (1952)
4,902,4.0,Breakfast at Tiffany's (1961)
4,904,4.0,Rear Window (1954)
4,908,5.0,North by Northwest (1959)
4,910,5.0,Some Like It Hot (1959)
4,912,5.0,Casablanca (1942)
4,914,5.0,My Fair Lady (1964)
4,919,5.0,"Wizard of Oz, The (1939)"
4,920,5.0,Gone with the Wind (1939)
4,930,5.0,Notorious (1946)
4,937,3.0,Love in the Afternoon (1957)
5,1,4.0,Toy Story (1995)
5,21,4.0,Get Shorty (1995)
5,34,4.0,Babe (1995)
5,36,4.0,Dead Man Walking (1995)
5,39,3.0,Clueless (1995)
5,50,4.0,"Usual Suspects, The (1995)"
5,58,5.0,"Postman, The (Postino, Il) (1994)"
5,110,4.0,Braveheart (1995)
5,150,3.0,Apollo 13 (1995)
5,153,3.0,Batman Forever (1995)
5,232,4.0,Eat Drink Man Woman (Yin shi nan nu) (1994)
5,247,5.0,Heavenly Creatures (1994)
5,253,3.0,Interview with the Vampire: The Vampire Chronicles (1994)
5,261,4.0,Little Women (1994)
5,265,3.0,Like Water for Chocolate (Como agua para chocolate) (1992)
5,266,1.0,Legends of the Fall (1994)
5,290,5.0,Once Were Warriors (1994)
5,296,5.0,Pulp Fiction (1994)
5,300,3.0,Quiz Show (1994)
5,316,2.0,Stargate (1994)
5,318,3.0,"Shawshank Redemption, The (1994)"
5,344,3.0,Ace Ventura: Pet Detective (1994)
5,349,3.0,Clear and Present Danger (1994)
5,357,2.0,Four Weddings and a Funeral (1994)
5,364,3.0,"Lion King, The (1994)"
